evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20200706_2254,-5.69,110.55,535.0,CI.COA.,32.863,-115.123,129.63,1583.46,1602.643,1608.424,293.0,2.419,0.42,0.495,0.47,0.474,0.468,-0.9,3.1,0.858,-0.808,-2.0,0.926,0.926,-1.6,0.912,0.926,-1.9,0.915,0.926,-1.8,0.911,0.926,-1.8,0.912,0.926,1,1.0,51.23
20200706_2254,-5.69,110.55,535.0,ZC.SC01.00,19.427,-70.728,166.206,1788.693,1847.005,1866.97,294.0,1.544,0.411,0.406,0.406,0.403,0.401,-0.6,-4.2,0.963,-0.579,-0.3,0.886,0.886,-0.2,0.881,0.886,-0.3,0.88,0.886,-0.4,0.868,0.886,-0.4,0.869,0.886,0,-1.0,4.891
20200706_2254,-5.69,110.55,535.0,OH.P52A.,39.634,-82.132,144.183,1670.314,1702.668,1712.915,295.0,6.653,0.755,0.767,0.772,0.776,0.778,0.7,0.8,0.958,0.951,0.0,0.928,0.928,0.2,0.933,0.928,0.0,0.931,0.928,-0.3,0.931,0.928,-0.2,0.933,0.928,1,0.0,16.677
20200706_2254,-5.69,110.55,535.0,PR.HUMP.,18.142,-65.849,167.061,1792.978,1852.424,1872.841,296.0,1.349,0.356,0.289,0.309,0.352,0.344,2.3,2.4,0.699,0.904,1.7,0.672,0.672,1.4,0.607,0.672,1.3,0.624,0.672,1.1,0.662,0.672,1.1,0.649,0.672,0,-1.0,-14.921
20200706_2254,-5.69,110.55,535.0,LD.MMNY.,42.732,-77.907,142.209,1658.94,1689.303,1698.855,297.0,3.26,0.71,0.725,0.725,0.722,0.726,0.3,0.4,0.974,0.979,-0.5,0.917,0.917,-0.2,0.919,0.917,-0.4,0.918,0.917,-0.7,0.925,0.917,-0.7,0.923,0.917,1,0.0,10.09
20200706_2254,-5.69,110.55,535.0,AZ.RDM.,33.63,-116.848,128.006,1573.338,1591.267,1596.65,298.0,4.1,0.504,0.47,0.478,0.483,0.479,0.4,0.7,0.808,0.883,0.0,0.741,0.741,0.5,0.806,0.741,0.1,0.794,0.741,0.3,0.802,0.741,0.3,0.799,0.741,1,1.0,51.024
20200706_2254,-5.69,110.55,535.0,BK.MTOS.00,37.505,-121.328,123.208,1542.954,1557.436,1561.748,299.0,5.012,0.598,0.653,0.64,0.646,0.651,-0.4,0.0,0.892,0.952,-0.1,0.79,0.79,-0.1,0.833,0.79,-0.4,0.809,0.79,-0.2,0.821,0.79,-0.2,0.821,0.79,1,1.0,48.228
20200706_2254,-5.69,110.55,535.0,CI.GOR.,33.154,-117.229,127.882,1572.565,1590.4,1595.754,300.0,3.976,0.37,0.384,0.377,0.381,0.381,-0.4,-0.5,0.739,0.794,4.1,0.442,0.442,4.5,0.422,0.442,4.1,0.443,0.442,4.2,0.443,0.442,4.3,0.436,0.442,0,-1.0,51.734
20200706_2254,-5.69,110.55,535.0,CC.HUSB.,44.119,-121.849,120.324,1524.321,1536.934,1540.674,301.0,3.272,0.46,0.584,0.569,0.559,0.562,0.8,0.8,0.79,0.899,-0.1,0.677,0.677,0.4,0.707,0.677,0.0,0.713,0.677,0.3,0.688,0.677,0.4,0.69,0.677,1,1.0,41.222
20200706_2254,-5.69,110.55,535.0,C1.CO10.,-29.241,-71.461,145.016,1675.075,1708.289,1718.837,302.0,2.128,0.076,0.23,0.226,0.201,0.207,-2.1,-1.6,0.742,0.767,-3.3,0.751,0.751,-2.3,0.828,0.751,-2.4,0.815,0.751,-3.0,0.762,0.751,-3.0,0.766,0.751,0,-1.0,176.968
20200706_2254,-5.69,110.55,535.0,CX.PX06.,-23.512,-70.25,150.788,1707.456,1746.888,1759.675,303.0,1.187,0.013,0.228,0.214,0.18,0.191,-5.6,-2.3,0.571,-0.571,2.9,0.591,0.591,0.8,0.541,0.591,0.7,0.541,0.591,0.4,0.535,0.591,0.4,0.535,0.591,0,-1.0,178.516
20200706_2254,-5.69,110.55,535.0,PY.BPH10.,33.612,-116.452,128.319,1575.291,1593.459,1598.917,304.0,5.153,0.46,0.505,0.493,0.498,0.496,-0.9,-1.0,0.876,0.865,-1.5,0.352,0.352,-1.0,0.389,0.352,-1.4,0.39,0.352,-1.1,0.393,0.352,-1.2,0.385,0.352,0,-1.0,50.887
20200706_2254,-5.69,110.55,535.0,C.GO10.,-53.155,-71.05,121.14,1529.618,1542.745,1546.642,305.0,1.073,0.122,0.119,0.117,0.106,0.105,-1.2,3.2,0.551,-0.546,-1.1,0.622,0.622,6.1,0.513,0.622,6.0,0.51,0.622,-1.2,0.556,0.622,-1.3,0.55,0.622,0,-1.0,178.881
20200706_2254,-5.69,110.55,535.0,CI.BCW.,34.94,-119.413,125.557,1557.925,1574.04,1578.858,306.0,3.171,0.578,0.645,0.634,0.644,0.642,-0.1,-0.3,0.889,0.873,-0.6,0.916,0.916,-0.3,0.904,0.916,-0.6,0.901,0.916,-0.4,0.903,0.916,-0.4,0.902,0.916,1,1.0,50.465
20200706_2254,-5.69,110.55,535.0,BK.DLIK.00,40.455,-122.894,121.018,1528.826,1541.875,1545.748,307.0,3.629,0.498,0.493,0.475,0.47,0.471,1.1,0.9,0.705,0.818,-0.1,0.732,0.732,0.5,0.697,0.732,0.2,0.714,0.732,0.4,0.7,0.732,0.5,0.695,0.732,1,1.0,45.499
20200706_2254,-5.69,110.55,535.0,BK.MCCM.00,38.145,-122.88,121.837,1534.125,1547.7,1551.733,308.0,4.101,0.526,0.539,0.57,0.577,0.57,0.1,0.0,0.894,0.923,-0.2,0.733,0.733,0.1,0.757,0.733,-0.1,0.757,0.733,0.1,0.764,0.733,0.0,0.757,0.733,1,1.0,48.027
20200706_2254,-5.69,110.55,535.0,BK.AONC.00,39.94,-122.061,121.798,1533.877,1547.426,1551.452,309.0,3.264,0.461,0.493,0.528,0.53,0.533,0.8,1.0,0.862,0.905,-0.1,0.744,0.744,0.6,0.651,0.744,0.3,0.639,0.744,0.6,0.623,0.744,0.7,0.628,0.744,1,1.0,45.785
20200706_2254,-5.69,110.55,535.0,YB.MOJJ.00,34.744,-115.934,128.28,1575.053,1593.191,1598.64,310.0,2.8,0.462,0.499,0.49,0.495,0.494,-0.6,-0.6,0.868,0.9,-0.7,0.475,0.475,-0.2,0.475,0.475,-0.7,0.476,0.475,-0.5,0.482,0.475,-0.5,0.476,0.475,0,-1.0,49.344
20200706_2254,-5.69,110.55,535.0,BK.BARR.00,39.305,-123.197,121.207,1530.05,1543.22,1547.129,311.0,4.933,0.415,0.46,0.464,0.45,0.455,1.4,1.2,0.8,0.781,0.2,0.526,0.526,1.4,0.61,0.526,0.9,0.57,0.526,1.4,0.593,0.526,1.3,0.587,0.526,1,1.0,46.851
20200706_2254,-5.69,110.55,535.0,TA.M65A.,41.562,-70.647,144.112,1669.909,1702.19,1712.411,312.0,3.108,0.611,0.64,0.638,0.631,0.633,0.5,0.4,0.855,0.867,-0.3,0.709,0.709,-0.5,0.702,0.709,-0.5,0.697,0.709,-0.8,0.692,0.709,-0.8,0.693,0.709,1,0.0,1.517
20200706_2254,-5.69,110.55,535.0,AZ.SND.,33.552,-116.613,128.217,1574.655,1592.745,1598.179,313.0,3.245,0.467,0.419,0.43,0.424,0.425,0.9,1.8,0.6,0.741,0.7,0.379,0.379,1.3,0.393,0.379,0.8,0.398,0.379,1.0,0.397,0.379,1.1,0.395,0.379,0,-1.0,51.022
20200706_2254,-5.69,110.55,535.0,CI.BAR.,32.68,-116.672,128.489,1576.355,1594.653,1600.153,314.0,5.79,0.38,0.453,0.42,0.436,0.437,-1.3,-1.3,0.824,0.795,-2.3,0.593,0.593,-1.7,0.619,0.593,-2.2,0.615,0.593,-2.0,0.617,0.593,-2.0,0.615,0.593,1,1.0,52.08
20200706_2254,-5.69,110.55,535.0,CC.NORM.,43.739,-121.253,120.872,1527.88,1540.836,1544.681,315.0,2.92,0.038,0.098,0.088,0.081,0.081,-12.2,-0.8,0.11,-0.999,7.9,0.564,0.564,8.6,0.628,0.564,8.4,0.626,0.564,8.5,0.637,0.564,8.6,0.639,0.564,0,-1.0,41.418
20200706_2254,-5.69,110.55,535.0,BK.RVIT.00,39.906,-123.379,120.867,1527.846,1540.8,1544.644,316.0,3.131,0.499,0.352,0.368,0.381,0.374,-0.1,-0.3,0.68,0.611,4.8,0.516,0.516,-0.4,0.574,0.516,-0.7,0.556,0.516,-0.5,0.574,0.516,-0.5,0.566,0.516,1,1.0,46.252
