station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
GB.CCA1.,50.187,-5.228,153.290,1720.436,1762.726,1776.574,343.000,0.715,0.713,0.658,0.629,0.646
KO.BZK.,41.960,34.004,146.428,1682.373,1717.083,1728.161,344.000,0.743,0.762,0.786,0.781,0.775
MN.PDG.,42.430,19.261,155.419,1731.926,1776.702,1791.486,345.000,0.417,0.505,0.574,0.562,0.542
GB.SOFL.,62.069,-6.966,141.426,1653.680,1683.285,1692.576,346.000,0.678,0.652,0.665,0.667,0.665
IV.OSSC.,43.524,11.246,158.170,1746.574,1794.658,1810.687,347.000,0.351,0.435,0.474,0.502,0.493
FR.CHMF.00,47.248,6.652,155.923,1734.627,1780.002,1795.010,348.000,0.647,0.664,0.692,0.698,0.697
RO.PLOR6.,45.842,26.642,149.170,1697.770,1735.429,1747.568,349.000,0.417,0.490,0.527,0.526,0.522
IV.CAMP.,42.536,13.409,158.171,1746.578,1794.662,1810.692,350.000,0.009,0.008,0.008,0.007,0.008
KO.AYDB.,37.947,27.891,152.287,1714.971,1756.110,1769.529,351.000,0.671,0.689,0.755,0.741,0.728
KO.MERS.,36.868,34.522,147.621,1689.102,1725.085,1736.616,352.000,0.702,0.673,0.690,0.694,0.687
XB.PS48.,36.901,-3.727,166.510,1789.493,1848.223,1868.356,353.000,0.450,0.330,0.346,0.372,0.363
NO.SPB3.00,78.174,16.358,125.068,1554.114,1569.891,1574.603,354.000,0.613,0.603,0.592,0.581,0.590
XB.PS53.,37.057,-3.964,166.311,1788.495,1846.961,1866.989,355.000,0.471,0.380,0.374,0.375,0.377
IV.IVPL.,38.376,14.980,160.576,1759.184,1810.249,1827.408,356.000,0.347,0.410,0.462,0.472,0.445
XB.PM33.,31.432,-4.243,171.508,1814.163,1879.668,1902.546,357.000,0.634,0.615,0.626,0.628,0.620
II.ASCN.00,-7.933,-14.360,145.355,1676.289,1709.871,1720.548,358.000,-0.012,-0.010,-0.013,-0.015,-0.012
IU.GNI.10,40.148,44.741,139.125,1640.194,1667.588,1676.120,359.000,0.453,0.460,0.508,0.486,0.478
IV.MCT.,37.619,13.608,161.876,1765.917,1818.627,1836.414,360.000,,,,,
XB.PS60.,37.327,-3.452,166.149,1787.679,1845.930,1865.873,361.000,0.008,-0.010,-0.011,-0.012,-0.012
DK.DBG.,74.307,-20.219,128.358,1574.831,1593.041,1598.513,362.000,0.612,0.569,0.597,0.590,0.585
IU.KEV.10,69.757,27.003,131.318,1593.176,1613.715,1619.937,363.000,-0.020,-0.024,-0.019,-0.018,-0.021
AF.UPI.,-28.362,21.253,123.954,1547.021,1562.021,1566.492,364.000,-0.062,0.163,0.163,0.097,0.123
IV.MSFR.,38.034,14.592,161.034,1761.561,1813.202,1830.581,365.000,0.281,0.278,0.319,0.322,0.304
XB.PM06.,35.309,-5.639,167.504,1794.467,1854.521,1875.183,366.000,0.572,0.656,0.653,0.639,0.644
KO.KCTX.,40.263,28.335,151.018,1708.007,1747.712,1760.600,367.000,0.707,0.740,0.798,0.792,0.780
DZ.OKGL.00,36.037,0.656,167.727,1795.573,1855.924,1876.705,368.000,0.546,0.356,0.365,0.365,0.371
KO.MAZI.,37.459,40.446,142.880,1662.109,1693.155,1702.945,369.000,0.488,0.480,0.511,0.505,0.497
