evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20110101_0957,-27.02,-63.21,586.0,YP.NE48.,43.593,127.615,161.258,1754.365,1806.48,1824.053,989.0,4.514,0.056,0.168,0.177,0.174,0.171,-0.2,0.7,0.673,0.542,-8.1,0.785,0.785,-8.0,0.857,0.785,-8.1,0.844,0.785,-8.2,0.836,0.785,-8.1,0.84,0.785,0,-1.0,-24.714
20110101_0957,-27.02,-63.21,586.0,SN.FUPI.00,34.974,109.145,169.702,1796.952,1860.173,1882.132,990.0,3.933,-0.04,-0.057,-0.062,-0.055,-0.056,5.9,3.0,0.645,-0.743,-0.9,0.655,0.655,-1.0,0.651,0.655,-1.0,0.657,0.655,-0.9,0.671,0.655,-1.0,0.656,0.655,0,-1.0,36.591
20110101_0957,-27.02,-63.21,586.0,FJ.NDZW.00,26.678,119.562,177.503,1834.329,1908.563,1935.056,991.0,11.416,0.426,0.331,0.343,0.333,0.327,-0.8,-0.2,0.881,0.843,0.3,0.815,0.815,0.7,0.777,0.815,0.3,0.87,0.815,0.4,0.839,0.815,0.7,0.775,0.815,1,20.0,-99.149
20110101_0957,-27.02,-63.21,586.0,QH.MIH.00,36.369,102.784,164.882,1772.917,1829.7,1849.076,992.0,3.393,0.285,0.309,0.317,0.316,0.313,0.7,-2.3,0.687,-0.843,-7.7,0.7,0.7,-7.1,0.762,0.7,-7.1,0.769,0.7,-7.0,0.771,0.7,-7.0,0.767,0.7,1,14.0,47.78
20110101_0957,-27.02,-63.21,586.0,FJ.PHSG.00,24.399,117.342,177.332,1833.528,1907.512,1933.901,993.0,5.55,0.266,0.32,0.315,0.317,0.314,-4.2,-3.5,0.645,0.573,-3.1,0.834,0.834,-2.6,0.911,0.834,-2.7,0.9,0.834,-2.7,0.887,0.834,-2.7,0.897,0.834,1,3.0,-170.755
20110101_0957,-27.02,-63.21,586.0,XJ.WUQ.00,39.74,75.238,143.425,1656.972,1688.734,1698.781,994.0,1.329,0.025,0.166,0.163,0.164,0.165,7.2,2.5,0.525,-0.515,7.6,0.733,0.733,-0.5,0.444,0.733,-0.6,0.401,0.733,-0.6,0.415,0.733,-0.5,0.435,0.733,0,-1.0,58.871
20110101_0957,-27.02,-63.21,586.0,JS.XW.00,34.498,119.542,172.158,1808.918,1875.525,1898.871,995.0,0.425,-0.085,-0.083,-0.087,-0.089,-0.088,-4.3,-3.7,0.863,0.515,-1.0,0.383,0.383,-10.0,0.27,0.383,-9.8,0.291,0.383,-9.8,0.291,0.383,-9.8,0.294,0.383,0,-1.0,-16.078
20110101_0957,-27.02,-63.21,586.0,YP.NEAC.,47.674,132.599,155.928,1726.323,1771.888,1786.98,996.0,4.745,0.338,0.358,0.358,0.359,0.359,8.9,-1.0,0.338,0.119,-11.3,0.446,0.446,-11.1,0.475,0.446,-11.2,0.496,0.446,-11.2,0.507,0.446,-11.2,0.509,0.446,0,-1.0,-26.511
20110101_0957,-27.02,-63.21,586.0,YN.MEL.00,22.337,99.58,163.692,1766.866,1822.101,1840.874,997.0,1.619,-0.17,0.064,0.026,0.031,0.051,-1.3,-1.2,0.811,0.857,-10.2,0.673,0.673,-1.1,0.659,0.673,-1.0,0.635,0.673,-1.0,0.637,0.673,-1.0,0.651,0.673,0,-1.0,103.448
20110101_0957,-27.02,-63.21,586.0,JS.LAS.00,33.772,119.283,172.915,1812.571,1880.236,1904.016,998.0,0.365,0.009,0.003,0.003,0.002,0.003,13.0,4.4,0.587,-0.03,9.4,0.724,0.724,10.8,0.694,0.724,10.7,0.699,0.724,10.8,0.696,0.724,10.7,0.699,0.724,0,-1.0,-16.162
20110101_0957,-27.02,-63.21,586.0,NM.XIH.00,42.252,119.889,164.559,1771.276,1827.636,1846.847,999.0,1.171,0.128,0.134,0.137,0.141,0.141,-13.1,-4.5,0.148,-0.912,5.7,0.366,0.366,-8.7,0.539,0.366,-8.6,0.546,0.366,-8.6,0.553,0.366,-8.6,0.554,0.366,0,-1.0,-8.468
20110101_0957,-27.02,-63.21,586.0,HI.NAD.00,19.534,109.619,170.033,1798.576,1862.251,1884.394,1000.0,5.835,0.001,0.157,0.196,0.182,0.162,-1.0,-0.6,0.878,0.846,-2.7,0.49,0.49,0.7,0.387,0.49,0.5,0.415,0.49,0.6,0.406,0.49,0.7,0.411,0.49,0,-1.0,138.532
20110101_0957,-27.02,-63.21,586.0,IC.HIA.00,49.27,119.741,157.634,1735.396,1783.013,1798.877,1001.0,5.471,0.408,0.283,0.292,0.301,0.296,1.1,1.2,0.923,0.856,-2.9,0.809,0.809,3.3,0.585,0.809,3.0,0.617,0.809,2.7,0.645,0.809,2.8,0.636,0.809,0,-1.0,-5.008
20110101_0957,-27.02,-63.21,586.0,AU.AS31.,-23.666,133.904,126.687,1556.164,1573.242,1578.364,1002.0,2.974,0.665,0.652,0.657,0.665,0.666,0.8,1.0,0.86,0.941,0.7,0.843,0.843,0.5,0.828,0.843,0.4,0.826,0.843,0.3,0.823,0.843,0.3,0.822,0.843,1,6.0,-160.449
20110101_0957,-27.02,-63.21,586.0,YP.NE76.,45.535,120.576,161.241,1754.279,1806.373,1823.937,1003.0,4.119,0.168,0.104,0.109,0.114,0.108,1.4,1.5,0.954,0.929,-5.5,0.538,0.538,-3.7,0.69,0.538,-3.6,0.688,0.538,-3.4,0.692,0.538,-3.5,0.693,0.538,0,-1.0,-8.144
20110101_0957,-27.02,-63.21,586.0,HE.TLK.00,40.139,119.045,166.749,1782.312,1841.554,1861.905,1004.0,4.282,0.158,0.11,0.116,0.114,0.112,0.1,0.2,0.926,0.923,8.7,0.427,0.427,-1.9,0.612,0.427,-1.7,0.634,0.427,-1.7,0.651,0.427,-1.7,0.643,0.427,0,-1.0,-7.35
